facultyid	email	type
1	webinc@sbcglobal.net	main
2	djupedal@outlook.com	main
3	makarow@gmail.com	main
4	notaprguy@optonline.net	main
5	moonlapse@sbcglobal.net	main
6	denton@comcast.net	main
7	fbriere@live.com	main
8	bflong@gmail.com	main
9	ninenine@sbcglobal.net	main
10	scarlet@optonline.net	main
11	thowell@hotmail.com	main
12	bescoto@sbcglobal.net	main
13	weidai@hotmail.com	main
14	agolomsh@att.net	main
15	tfinniga@comcast.net	main
1	dartlife@sbcglobal.net	personal
2	helger@icloud.com	personal
3	thomasj@me.com	personal
4	mhouston@hotmail.com	personal
5	campware@live.com	personal
6	mcrawfor@gmail.com	personal
7	pontipak@icloud.com	personal
8	dbrobins@yahoo.ca	personal
9	meinkej@optonline.net	personal
10	jonathan@sbcglobal.net	personal
11	errxn@optonline.net	personal
12	ajlitt@msn.com	personal
13	jshirley@aol.com	personal
14	mgemmons@aol.com	personal
15	shrapnull@yahoo.ca	personal
