studentid	email	type
2	mlampart0@tiny.cc	primary
3	ladamik1@squarespace.com	primary
4	lkenwood2@friendfeed.com	primary
5	efennelly3@addtoany.com	primary
6	rfry4@51.la	primary
7	gkeysel5@infoseek.co.jp	primary
8	cwateridge6@hp.com	primary
9	cwindows7@pcworld.com	primary
10	jjent8@ihg.com	primary
11	lbeau9@themeforest.net	primary
12	mcliffortha@g.co	primary
13	khoxeyb@umich.edu	primary
14	jhardinghamc@howstuffworks.com	primary
15	gsanbroked@joomla.org	primary
16	kheersmae@is.gd	primary
17	bhailwoodf@illinois.edu	primary
18	skeransg@parallels.com	primary
19	scherrisonh@nature.com	primary
20	wmckanei@gnu.org	primary
1	kwoodallj@cpanel.net	primary
1	mgarett0@4shared.com	secondary
2	mthorntondewhirst1@zdnet.com	secondary
3	gpobjoy2@tripod.com	secondary
4	mslym3@weebly.com	secondary
5	bbackhouse4@bloomberg.com	secondary
6	tkeynd5@google.ru	secondary
7	hditter6@purevolume.com	secondary
8	ckarpenya7@hibu.com	secondary
9	ddibiaggi8@japanpost.jp	secondary
10	dmacardle9@bloglovin.com	secondary
11	tamericia@technorati.com	secondary
12	agammadeb@noaa.gov	secondary
13	candreuc@mlb.com	secondary
14	dbarkusd@adobe.com	secondary
15	jwarmishame@ucla.edu	secondary
16	ckilbornf@cyberchimps.com	secondary
17	tlesarrg@redcross.org	secondary
18	khexterh@flickr.com	secondary
19	dygoui@oaic.gov.au	secondary
20	kscuttj@auda.org.au	secondary
