studentid	phone	type
1	62-(878)630-5309	home
2	51-(322)463-9291	home
3	84-(107)256-4517	home
4	30-(914)466-9603	home
5	86-(696)844-9577	home
6	86-(916)406-6173	home
7	86-(541)647-7017	home
8	81-(902)511-0223	home
9	62-(620)415-7844	home
10	63-(215)634-3477	home
11	505-(733)632-0637	home
12	57-(163)395-3103	home
13	234-(947)241-0195	home
14	503-(397)486-9672	home
15	420-(638)348-5798	home
16	244-(193)796-2439	home
17	33-(938)692-8954	home
18	63-(491)182-1378	home
19	48-(360)351-8985	home
20	420-(279)625-1744	home
1	55-(969)452-7269	mobile
2	48-(573)353-0476	mobile
3	62-(990)595-7854	mobile
4	86-(542)539-7020	mobile
5	33-(501)933-8784	mobile
6	351-(655)800-5311	mobile
7	33-(491)768-7433	mobile
8	30-(917)320-1365	mobile
9	62-(845)978-4531	mobile
10	229-(221)765-5269	mobile
11	30-(561)660-5911	mobile
12	57-(705)909-6173	mobile
13	62-(995)457-9253	mobile
14	7-(706)837-4231	mobile
15	356-(382)681-9701	mobile
16	7-(469)444-8905	mobile
17	7-(667)787-4235	mobile
18	55-(216)342-6984	mobile
19	62-(520)155-1156	mobile
20	66-(501)532-7159	mobile
